Date,Month,Day,HijriMonth,HijriDay,Fajr,FajrIqama,Sunrise,Dhuhr,DhuhrIqama,Asr,AsrIqama,Maghrib,MaghribIqama,Isha,IshaIqama
2022-05-31,5,31,Dhul-Qada,1,4:12,5:00,5:59,1:35,1:50,5:31,6:00,9:04,9:09,10:15,10:45
2022-06-01,6,1,Dhul-Qada,2,4:12,5:00,5:58,1:35,1:50,5:32,6:00,9:05,9:10,10:16,10:45
2022-06-02,6,2,Dhul-Qada,3,4:11,5:00,5:58,1:35,1:50,5:32,6:00,9:06,9:11,10:17,10:45
2022-06-03,6,3,Dhul-Qada,4,4:10,5:00,5:57,1:35,1:50,5:32,6:00,9:06,9:11,10:18,10:45
2022-06-04,6,4,Dhul-Qada,5,4:10,5:00,5:57,1:35,1:50,5:33,6:00,9:07,9:12,10:19,10:45
2022-06-05,6,5,Dhul-Qada,6,4:09,5:00,5:57,1:35,1:50,5:33,6:00,9:08,9:13,10:20,10:45
2022-06-06,6,6,Dhul-Qada,7,4:08,5:00,5:56,1:36,1:50,5:33,6:00,9:08,9:13,10:21,10:45
2022-06-07,6,7,Dhul-Qada,8,4:08,5:00,5:56,1:36,1:50,5:34,6:00,9:09,9:14,10:22,10:45
2022-06-08,6,8,Dhul-Qada,9,4:07,5:00,5:56,1:36,1:50,5:34,6:00,9:10,9:15,10:23,10:45
2022-06-09,6,9,Dhul-Qada,10,4:07,5:00,5:55,1:36,1:50,5:34,6:00,9:10,9:15,10:24,10:45
2022-06-10,6,10,Dhul-Qada,11,4:06,5:00,5:55,1:36,1:50,5:34,6:00,9:11,9:16,10:24,10:45
2022-06-11,6,11,Dhul-Qada,12,4:06,5:00,5:55,1:36,1:50,5:35,6:00,9:11,9:16,10:25,10:45
2022-06-12,6,12,Dhul-Qada,13,4:06,5:00,5:55,1:37,1:50,5:35,6:00,9:12,9:17,10:26,10:45
2022-06-13,6,13,Dhul-Qada,14,4:05,5:00,5:55,1:37,1:50,5:35,6:00,9:12,9:17,10:27,10:45
2022-06-14,6,14,Dhul-Qada,15,4:05,5:00,5:55,1:37,1:50,5:36,6:00,9:13,9:18,10:27,10:45
2022-06-15,6,15,Dhul-Qada,16,4:05,5:00,5:55,1:37,1:50,5:36,6:00,9:13,9:18,10:28,10:45
2022-06-16,6,16,Dhul-Qada,17,4:04,5:00,5:55,1:38,1:50,5:36,6:00,9:14,9:19,10:29,10:45
2022-06-17,6,17,Dhul-Qada,18,4:04,5:00,5:55,1:38,1:50,5:36,6:00,9:14,9:19,10:29,10:45
2022-06-18,6,18,Dhul-Qada,19,4:04,5:00,5:55,1:38,1:50,5:37,6:00,9:14,9:19,10:30,10:45
2022-06-19,6,19,Dhul-Qada,20,4:04,5:00,5:55,1:38,1:50,5:37,6:00,9:15,9:20,10:31,10:45
